mol,SMILES_RESULT,Chemspace_ID,Product_type,Price_for_1_mg_pack__USD,Cheapest_pack_size,Cheapest_pack_cost__USD,Supplier,$File,SMILES_QUERY
O=C(NC1=NCCS1)C1=CC2=CC=CC=C2S1,O=C(NC1=NCCS1)C1=CC2=CC=CC=C2S1,CSRS8029249641314414848031735162112,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17005,O=C(NC=1SCCN=1)c1c2c(sc1)cccc2
O=C(NC1=NCCS1)C1=CSC2=CC=CC=C12,O=C(NC1=NCCS1)C1=CSC2=CC=CC=C12,CSRS8029249641314414848031735162368,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17005,O=C(NC=1SCCN=1)c1c2c(sc1)cccc2
FC1=CN=C(C(=O)NC2=NCCS2)C2=CC=CC=C12,FC1=CN=C(C(=O)NC2=NCCS2)C2=CC=CC=C12,CSRS8029249641314414848031735162624,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17005,O=C(NC=1SCCN=1)c1c2c(sc1)cccc2
OC1=C(N=CC2=CC=CC=C12)C(=O)NC1=NCCS1,OC1=C(N=CC2=CC=CC=C12)C(=O)NC1=NCCS1,CSRS8029249641314414848031735162880,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17005,O=C(NC=1SCCN=1)c1c2c(sc1)cccc2
NC1=CC2=CC=CC=C2C(=N1)C(=O)NC1=NCCS1,NC1=CC2=CC=CC=C2C(=N1)C(=O)NC1=NCCS1,CSRS8029249641314414848031735163136,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17005,O=C(NC=1SCCN=1)c1c2c(sc1)cccc2
NC1=C2C=CC=CC2=NC(=C1)C(=O)NC1=NCCS1,NC1=C2C=CC=CC2=NC(=C1)C(=O)NC1=NCCS1,CSRS8029249641314414848031735163392,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17005,O=C(NC=1SCCN=1)c1c2c(sc1)cccc2
NC1=C2C=CC=CC2=NC=C1C(=O)NC1=NCCS1,NC1=C2C=CC=CC2=NC=C1C(=O)NC1=NCCS1,CSRS8029249641314414848031735163648,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17005,O=C(NC=1SCCN=1)c1c2c(sc1)cccc2
NC1=NC2=CC=CC=C2C=C1C(=O)NC1=NCCS1,NC1=NC2=CC=CC=C2C=C1C(=O)NC1=NCCS1,CSRS8029249641314414848031735163904,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17005,O=C(NC=1SCCN=1)c1c2c(sc1)cccc2
C=CC1(COC1)NC(=O)C1=CC2=CC=CC=C2S1,C=CC1(COC1)NC(=O)C1=CC2=CC=CC=C2S1,CSRS8029249641314414848031735164160,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17005,O=C(NC=1SCCN=1)c1c2c(sc1)cccc2
C=CC1(COC1)NC(=O)C1=CSC2=CC=CC=C12,C=CC1(COC1)NC(=O)C1=CSC2=CC=CC=C12,CSRS8029249641314414848031735164416,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17005,O=C(NC=1SCCN=1)c1c2c(sc1)cccc2
CC1=C(C(=O)NC2=NCCS2)C2=CC=CC=C2C=N1,CC1=C(C(=O)NC2=NCCS2)C2=CC=CC=C2C=N1,CSRS8029249641314414848031735164672,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17005,O=C(NC=1SCCN=1)c1c2c(sc1)cccc2
CC1=C(N=C2C=CC=CC2=C1)C(=O)NC1=NCCS1,CC1=C(N=C2C=CC=CC2=C1)C(=O)NC1=NCCS1,CSRS8029249641314414848031735164928,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17005,O=C(NC=1SCCN=1)c1c2c(sc1)cccc2
CC1=C2C=CC=CC2=NC=C1C(=O)NC1=NCCS1,CC1=C2C=CC=CC2=NC=C1C(=O)NC1=NCCS1,CSRS8029249641314414848031735165184,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17005,O=C(NC=1SCCN=1)c1c2c(sc1)cccc2
CC1=NC2=CC=CC=C2C=C1C(=O)NC1=NCCS1,CC1=NC2=CC=CC=C2C=C1C(=O)NC1=NCCS1,CSRS8029249641314414848031735165440,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17005,O=C(NC=1SCCN=1)c1c2c(sc1)cccc2
CC1=C2C=CC=CC2=NC(=C1)C(=O)NC1=NCCS1,CC1=C2C=CC=CC2=NC(=C1)C(=O)NC1=NCCS1,CSRS8029249641314414848031735165696,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17005,O=C(NC=1SCCN=1)c1c2c(sc1)cccc2
CC1=C(C(=O)NC2=NCCS2)C2=CC=CC=C2N=C1,CC1=C(C(=O)NC2=NCCS2)C2=CC=CC=C2N=C1,CSRS8029249641314414848031735165952,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17005,O=C(NC=1SCCN=1)c1c2c(sc1)cccc2
CC1=NC2=CC=CC=C2C(=C1)C(=O)NC1=NCCS1,CC1=NC2=CC=CC=C2C(=C1)C(=O)NC1=NCCS1,CSRS8029249641314414848031735166208,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17005,O=C(NC=1SCCN=1)c1c2c(sc1)cccc2
FC1=CC=CC2=C1SC=C2C(=O)NC1=NCCS1,FC1=CC=CC2=C1SC=C2C(=O)NC1=NCCS1,CSRS8029249641314414848031735166464,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17005,O=C(NC=1SCCN=1)c1c2c(sc1)cccc2
FC1=CC=C2SC(=CC2=C1)C(=O)NC1=NCCS1,FC1=CC=C2SC(=CC2=C1)C(=O)NC1=NCCS1,CSRS8029249641314414848031735166720,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17005,O=C(NC=1SCCN=1)c1c2c(sc1)cccc2
FC1=CC=CC2=C1SC(=C2)C(=O)NC1=NCCS1,FC1=CC=CC2=C1SC(=C2)C(=O)NC1=NCCS1,CSRS8029249641314414848031735166976,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17005,O=C(NC=1SCCN=1)c1c2c(sc1)cccc2
FC1=CC=C2SC=C(C(=O)NC3=NCCS3)C2=C1,FC1=CC=C2SC=C(C(=O)NC3=NCCS3)C2=C1,CSRS8029249641314414848031735167232,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17005,O=C(NC=1SCCN=1)c1c2c(sc1)cccc2
FC1=C2C=C(SC2=CC=C1)C(=O)NC1=NCCS1,FC1=C2C=C(SC2=CC=C1)C(=O)NC1=NCCS1,CSRS8029249641314414848031735167488,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17005,O=C(NC=1SCCN=1)c1c2c(sc1)cccc2
FC1=CC=C2C=C(SC2=C1)C(=O)NC1=NCCS1,FC1=CC=C2C=C(SC2=C1)C(=O)NC1=NCCS1,CSRS8029249641314414848031735167744,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17005,O=C(NC=1SCCN=1)c1c2c(sc1)cccc2
O=C(NC1=NCCS1)C1=CC=NC2=CC=CC=C12,O=C(NC1=NCCS1)C1=CC=NC2=CC=CC=C12,CSRS8029249641314414848031735168000,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17005,O=C(NC=1SCCN=1)c1c2c(sc1)cccc2
O=C(NC1=NCCS1)C1=CC2=CC=CC=C2N=C1,O=C(NC1=NCCS1)C1=CC2=CC=CC=C2N=C1,CSRS8029249641314414848031735168256,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17005,O=C(NC=1SCCN=1)c1c2c(sc1)cccc2
O=C(NC1=NCCS1)C1=CC=C2C=CC=CC2=N1,O=C(NC1=NCCS1)C1=CC=C2C=CC=CC2=N1,CSRS8029249641314414848031735168512,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17005,O=C(NC=1SCCN=1)c1c2c(sc1)cccc2
ClC1=CC2=CC=CC=C2N=C1C(=O)NC1=NCCS1,ClC1=CC2=CC=CC=C2N=C1C(=O)NC1=NCCS1,CSRS8029249641314414848031735168768,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17005,O=C(NC=1SCCN=1)c1c2c(sc1)cccc2
ClC1=CC(C(=O)NC2=NCCS2)=C2C=CC=CC2=N1,ClC1=CC(C(=O)NC2=NCCS2)=C2C=CC=CC2=N1,CSRS8029249641314414848031735169024,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17005,O=C(NC=1SCCN=1)c1c2c(sc1)cccc2
ClC1=C(C=C2C=CC=CC2=N1)C(=O)NC1=NCCS1,ClC1=C(C=C2C=CC=CC2=N1)C(=O)NC1=NCCS1,CSRS8029249641314414848031735169280,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17005,O=C(NC=1SCCN=1)c1c2c(sc1)cccc2
O=C(NC1=NCCS1)C1=CN=CC2=CC=CC=C12,O=C(NC1=NCCS1)C1=CN=CC2=CC=CC=C12,CSRS8029249641314414848031735169536,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17005,O=C(NC=1SCCN=1)c1c2c(sc1)cccc2
